1.1.1.8,443,https,open,tcpscan,"NULL","NULL","b'HTTP/1.1 400 Bad Request\r\nServer: cloudflare\r\nDate: Sun, 08 Nov 2020 04:39:27 GMT\r\nContent-Type: text/html\r\nContent-Length: 253\r\nConnection: close\r\nCF-RAY: -\r\n\r\n<html>\r\n<head><title>400 The plain HTTP request was sent to HTTPS port</title></head>\r\n<body>\r\n<center><h1>400 Bad Request</h1></center>\r\n<center>The plain HTTP request was sent to HTTPS port</center>\r\n<hr><center>cloudflare</center>\r\n</body>\r\n</html>\r\n'"
1.1.1.8,25,unkonw,filtered,tcpscan,"NULL","NULL","timed out"
1.1.1.8,110,unkonw,filtered,tcpscan,"NULL","NULL","timed out"
1.1.1.8,25,smtp,filtered,nmap,"","","NULL"
1.1.1.8,80,http,open,nmap,"Cloudflare http proxy","","NULL"
1.1.1.8,110,pop3,filtered,nmap,"","","NULL"
1.1.1.8,443,https,open,nmap,"cloudflare","","NULL"
8.8.8.4,25,unkonw,filtered,tcpscan,"NULL","NULL","timed out"
8.8.8.4,110,unkonw,filtered,tcpscan,"NULL","NULL","timed out"
1.1.1.5,80,http,open,tcpscan,"NULL","NULL","b'HTTP/1.1 403 Forbidden\r\nDate: Sun, 08 Nov 2020 04:39:28 GMT\r\nContent-Type: text/plain; charset=UTF-8\r\nContent-Length: 16\r\nConnection: close\r\nX-Frame-Options: SAMEORIGIN\r\nCache-Control: private, max-age=0, no-store, no-cache, must-revalidate, post-check=0, pre-check=0\r\nExpires: Thu, 01 Jan 1970 00:00:01 GMT\r\nSet-Cookie: __cfduid=d3823084e6add0a9bd5f9740ecdb1da541604810368; expires=Tue, 08-Dec-20 04:39:28 GMT; path=/; domain=.1.1.1.5; HttpOnly; SameSite=Lax\r\ncf-request-id: 0647bffde90000053833bd1000000001\r\nSe'"
1.1.1.5,443,https,open,tcpscan,"NULL","NULL","b'HTTP/1.1 400 Bad Request\r\nServer: cloudflare\r\nDate: Sun, 08 Nov 2020 04:39:28 GMT\r\nContent-Type: text/html\r\nContent-Length: 253\r\nConnection: close\r\nCF-RAY: -\r\n\r\n<html>\r\n<head><title>400 The plain HTTP request was sent to HTTPS port</title></head>\r\n<body>\r\n<center><h1>400 Bad Request</h1></center>\r\n<center>The plain HTTP request was sent to HTTPS port</center>\r\n<hr><center>cloudflare</center>\r\n</body>\r\n</html>\r\n'"
1.1.1.5,25,unkonw,filtered,tcpscan,"NULL","NULL","timed out"
1.1.1.5,110,unkonw,filtered,tcpscan,"NULL","NULL","timed out"
1.1.1.5,25,smtp,filtered,nmap,"","","NULL"
1.1.1.5,80,http,open,nmap,"Cloudflare http proxy","","NULL"
1.1.1.5,110,pop3,filtered,nmap,"","","NULL"
1.1.1.5,443,https,open,nmap,"cloudflare","","NULL"
8.8.8.1,25,unkonw,filtered,tcpscan,"NULL","NULL","timed out"
8.8.8.1,110,unkonw,filtered,tcpscan,"NULL","NULL","timed out"
1.1.1.1,80,https,open,tcpscan,"NULL","NULL","b'HTTP/1.1 301 Moved Permanently\r\nDate: Sun, 08 Nov 2020 04:39:29 GMT\r\nContent-Type: text/html\r\nTransfer-Encoding: chunked\r\nConnection: keep-alive\r\nLocation: https://1.1.1.1/\r\nServed-In-Seconds: 0.000\r\nCF-Cache-Status: HIT\r\nAge: 1797\r\nExpires: Sun, 08 Nov 2020 08:39:29 GMT\r\nCache-Control: public, max-age=14400\r\ncf-request-id: 0647c000b80000d372ae9f2000000001\r\nServer: cloudflare\r\nCF-RAY: 5eec9c478a69d372-LAX\r\n\r\nba\r\n<html>\r\n<head><title>301 Moved Permanently</title></head>\r\n<body bgcolor=white>\r\n<center><h1>3'"
1.1.1.1,25,unkonw,filtered,tcpscan,"NULL","NULL","timed out"
1.1.1.1,110,unkonw,filtered,tcpscan,"NULL","NULL","timed out"
1.1.1.1,443,https,open,tcpscan,"NULL","NULL","b'HTTP/1.1 400 Bad Request\r\nServer: cloudflare\r\nDate: Sun, 08 Nov 2020 04:39:29 GMT\r\nContent-Type: text/html\r\nContent-Length: 253\r\nConnection: close\r\nCF-RAY: -\r\n\r\n<html>\r\n<head><title>400 The plain HTTP request was sent to HTTPS port</title></head>\r\n<body>\r\n<center><h1>400 Bad Request</h1></center>\r\n<center>The plain HTTP request was sent to HTTPS port</center>\r\n<hr><center>cloudflare</center>\r\n</body>\r\n</html>\r\n'"
1.1.1.1,25,smtp,filtered,nmap,"","","NULL"
1.1.1.1,80,http,open,nmap,"Cloudflare http proxy","","NULL"
1.1.1.1,110,pop3,filtered,nmap,"","","NULL"
1.1.1.1,443,http,open,nmap,"Cloudflare http proxy","","NULL"
8.8.8.3,25,unkonw,filtered,tcpscan,"NULL","NULL","timed out"
8.8.8.3,110,unkonw,filtered,tcpscan,"NULL","NULL","timed out"
8.8.8.5,25,unkonw,filtered,tcpscan,"NULL","NULL","timed out"
8.8.8.5,110,unkonw,filtered,tcpscan,"NULL","NULL","timed out"
8.8.8.6,25,unkonw,filtered,tcpscan,"NULL","NULL","timed out"
8.8.8.6,110,unkonw,filtered,tcpscan,"NULL","NULL","timed out"
1.1.1.6,443,https,open,tcpscan,"NULL","NULL","b'HTTP/1.1 400 Bad Request\r\nServer: cloudflare\r\nDate: Sun, 08 Nov 2020 04:39:30 GMT\r\nContent-Type: text/html\r\nContent-Length: 253\r\nConnection: close\r\nCF-RAY: -\r\n\r\n<html>\r\n<head><title>400 The plain HTTP request was sent to HTTPS port</title></head>\r\n<body>\r\n<center><h1>400 Bad Request</h1></center>\r\n<center>The plain HTTP request was sent to HTTPS port</center>\r\n<hr><center>cloudflare</center>\r\n</body>\r\n</html>\r\n'"
1.1.1.6,25,unkonw,filtered,tcpscan,"NULL","NULL","timed out"
1.1.1.6,110,unkonw,filtered,tcpscan,"NULL","NULL","timed out"
1.1.1.6,25,smtp,filtered,nmap,"","","NULL"
1.1.1.6,80,http,open,nmap,"Cloudflare http proxy","","NULL"
1.1.1.6,110,pop3,filtered,nmap,"","","NULL"
1.1.1.6,443,https,open,nmap,"cloudflare","","NULL"
8.8.8.7,25,unkonw,filtered,tcpscan,"NULL","NULL","timed out"
8.8.8.7,110,unkonw,filtered,tcpscan,"NULL","NULL","timed out"
8.8.8.2,25,unkonw,filtered,tcpscan,"NULL","NULL","timed out"
8.8.8.2,110,unkonw,filtered,tcpscan,"NULL","NULL","timed out"
1.1.1.4,80,http,open,tcpscan,"NULL","NULL","b'HTTP/1.1 403 Forbidden\r\nDate: Sun, 08 Nov 2020 04:39:31 GMT\r\nContent-Type: text/plain; charset=UTF-8\r\nContent-Length: 16\r\nConnection: close\r\nX-Frame-Options: SAMEORIGIN\r\nCache-Control: private, max-age=0, no-store, no-cache, must-revalidate, post-check=0, pre-check=0\r\nExpires: Thu, 01 Jan 1970 00:00:01 GMT\r\nSet-Cookie: __cfduid=d90123bfa1ad376c1663ae35077dadb601604810371; expires=Tue, 08-Dec-20 04:39:31 GMT; path=/; domain=.1.1.1.4; HttpOnly; SameSite=Lax\r\ncf-request-id: 0647c00b530000364fd606e000000001\r\nSe'"
